Name	Position X	Position Y	Linear velocity X	Linear velocity Y
StarA	100	0	0	-100
StarA	99.9305419921875	-1.66665649414063	-4.16666698455811	-100
StarA	99.7915649414063	-3.3321533203125	-8.33738803863525	-99.9304428100586
StarA	99.5830078125	-4.99533081054688	-12.5144891738892	-99.7909622192383
StarA	99.3046875	-6.655029296875	-16.7003154754639	-99.5809936523438
StarA	98.9564208984375	-8.31002807617188	-20.8972301483154	-99.2997283935547
StarA	98.5379638671875	-9.95913696289063	-25.1076278686523	-98.9461517333984
StarA	98.049072265625	-11.6011352539063	-29.3339347839355	-98.5190048217773
StarA	97.4894409179688	-13.2347412109375	-33.5786209106445	-98.0167770385742
StarA	96.8587036132813	-14.8587036132813	-37.8441925048828	-97.4376983642578
StarA	96.156494140625	-16.4717102050781	-42.1332206726074	-96.7797393798828
StarA	95.3823852539063	-18.0723876953125	-46.4483222961426	-96.0405578613281
StarA	94.5358276367188	-19.6593322753906	-50.7921829223633	-95.2175140380859
StarA	93.6163940429688	-21.2311401367188	-55.1675682067871	-94.3076248168945
StarA	92.6234130859375	-22.7862548828125	-59.5773086547852	-93.3075485229492
StarA	91.5563354492188	-24.3231506347656	-64.0243225097656	-92.2135391235352
StarA	90.4144897460938	-25.8401794433594	-68.5116271972656	-91.0214309692383
StarA	89.1971435546875	-27.3356323242188	-73.0423202514648	-89.7265701293945
StarA	87.9035034179688	-28.8077087402344	-77.6196212768555	-88.3237991333008
StarA	86.53271484375	-30.2544860839844	-82.2468414306641	-86.8073654174805
StarA	85.0839233398438	-31.6740112304688	-86.9274139404297	-85.1708908081055
StarA	83.55615234375	-33.0641479492188	-91.6648864746094	-83.4072799682617
StarA	81.9484252929688	-34.4226379394531	-96.4629364013672	-81.5086364746094
StarA	80.2596435546875	-35.7470703125	-101.325340270996	-79.4661712646484
StarA	78.4887084960938	-37.034912109375	-106.256011962891	-77.2700881958008
StarA	76.6343994140625	-38.2834167480469	-111.25895690918	-74.9094467163086
StarA	74.6954345703125	-39.4896240234375	-116.338287353516	-72.3720169067383
StarA	72.6704711914063	-40.6503601074219	-121.498199462891	-69.6440963745117
StarA	70.55810546875	-41.76220703125	-126.74292755127	-66.7102966308594
StarA	68.3568115234375	-42.8214416503906	-132.076736450195	-63.5532989501953
StarA	66.0650634765625	-43.8240051269531	-137.503829956055	-60.1535491943359
StarA	63.6812744140625	-44.7654724121094	-143.028274536133	-56.4889221191406
StarA	61.2037353515625	-45.6410522460938	-148.653915405273	-52.5343055725098
StarA	58.6306762695313	-46.4454040527344	-154.384201049805	-48.261100769043
StarA	55.9603271484375	-47.1726684570313	-160.221954345703	-43.6366157531738
StarA	53.1908569335938	-47.81640625	-166.169097900391	-38.623363494873
StarA	50.3204345703125	-48.369384765625	-172.226287841797	-33.1781883239746
StarA	47.3472290039063	-48.8235778808594	-178.392333984375	-27.2512054443359
StarA	44.26953125	-49.1699829101563	-184.663452148438	-20.7845344543457
StarA	41.0856323242188	-49.3984985351563	-191.032257080078	-13.7107210159302
StarA	37.794189453125	-49.4976806640625	-197.486297607422	-5.95082712173462
StarA	34.3941040039063	-49.4545593261719	-204.006057739258	2.58787679672241
StarA	30.8847045898438	-49.2543029785156	-210.562149047852	12.0147533416748
StarA	27.2661743164063	-48.8799743652344	-217.111312866211	22.4592437744141
StarA	23.5396728515625	-48.3120727539063	-223.590713500977	34.0748825073242
StarA	19.7078247070313	-47.5280151367188	-229.909790039063	47.0439987182617
StarA	15.7755126953125	-46.5016479492188	-235.938430786133	61.5829010009766
StarA	11.7506713867188	-45.2025451660156	-241.489822387695	77.9468765258789
StarA	7.645751953125	-43.5953063964844	-246.29557800293	96.4337997436523
StarA	3.4796142578125	-41.638916015625	-249.969680786133	117.383338928223
StarA	-0.71966552734375	-39.2861633300781	-251.957061767578	141.165802001953
StarA	-4.91070556640625	-36.4836730957031	-251.46272277832	168.148849487305
StarA	-9.03338623046875	-33.17333984375	-247.361190795898	198.620422363281
StarA	-13.001708984375	-29.2961730957031	-238.099822998047	232.630783081055
StarA	-16.69580078125	-24.8011169433594	-221.647094726563	269.702819824219
StarA	-19.9560546875	-19.6615905761719	-195.615386962891	308.372009277344
StarA	-22.5859985351563	-13.9010620117188	-157.796752929688	345.632476806641
StarA	-24.3751220703125	-7.62301635742188	-107.347610473633	376.682464599609
StarA	-25.1481323242188	-1.02719116210938	-46.3790893554688	395.749572753906
StarA	-24.8258056640625	5.61337280273438	19.3396530151367	398.433898925781
StarA	-23.4579467773438	12.0175170898438	82.0729370117188	384.249298095703
StarA	-21.2003784179688	17.9658813476563	135.453735351563	356.902374267578
StarA	-18.2567749023438	23.3328552246094	176.617248535156	322.019195556641
StarA	-14.8256225585938	28.0767517089844	205.870208740234	284.632934570313
StarA	-11.0728149414063	32.2114868164063	225.169662475586	248.083801269531
StarA	-7.12542724609375	35.7801513671875	236.844650268555	214.120742797852
StarA	-3.07611083984375	38.8371276855469	242.958862304688	183.418655395508
StarA	1.00933837890625	41.43798828125	245.126480102539	156.052093505859
StarA	5.0849609375	43.6347961425781	244.535980224609	131.808044433594
StarA	9.118896484375	45.4741821289063	242.036865234375	110.362564086914
StarA	13.08935546875	46.9970092773438	238.228393554688	91.3703079223633
StarA	16.9815673828125	48.23876953125	233.531326293945	74.5055389404297
StarA	20.7855834960938	49.2300720214844	228.241149902344	59.4779205322266
StarA	24.4949951171875	49.9973449707031	222.565765380859	46.0359001159668
StarA	28.1058349609375	50.5634155273438	216.651809692383	33.9647521972656
